id,xspanish,complete_status,ppage,ppeduc,ppeducat,ppgender,ppethm,pphhsize,pphouse,ppincimp,ppmarit,ppmsacat,ppreg4,pprent,ppstaten,ppwork,Q1,Q2,Q3a,Q3b,Q4,QPID,POLIT200,ABCAGE,weights_pid
30124,English,qualified,32,Bachelor's degree,Bachelors degree or higher,Male,"White, Non-Hispanic",4,A one-family house detached from any other house,"$150,000 to $174,999",Married,Metro area,NorthEast,Owned or being bought by you or someone in your household,Pennsylvania,Working - as a paid employee,Disapprove,Not so concerned,Yes,By June 1,Yes,An Independent,"Yes, registered to vote at my current address",30-49,1.0238
30125,English,qualified,42,Master's degree,Bachelors degree or higher,Male,"White, Non-Hispanic",4,A one-family house detached from any other house,"$60,000 to $74,999",Married,Metro area,South,Owned or being bought by you or someone in your household,Alabama,Working - as a paid employee,Approve,Very concerned,Yes,By the end of summer,Yes,A Republican,"Yes, registered to vote at my current address",30-49,1.004
30126,English,qualified,67,Master's degree,Bachelors degree or higher,Male,"White, Non-Hispanic",1,A one-family house attached to one or more houses,"$15,000 to $19,999",Divorced,Metro area,South,Owned or being bought by you or someone in your household,Virginia,Not working - retired,Disapprove,Very concerned,Yes,By the end of summer,Yes,An Independent,"Yes, registered to vote at my current address",65+,.5593
30127,English,qualified,57,10th grade,Less than high school,Male,"White, Non-Hispanic",1,A building with 2 or more apartments,"Less than $5,000",Divorced,Non-metro area,NorthEast,Rented for cash,New Hampshire,Not working - retired,Approve,Very concerned,Yes,By the end of summer,Yes,A Republican,"Yes, registered to vote at my current address",50-64,1.4991
30128,English,qualified,73,"Some college, no degree",Some college,Female,"White, Non-Hispanic",2,A one-family house detached from any other house,"$85,000 to $99,999",Married,Metro area,NorthEast,Owned or being bought by you or someone in your household,New Jersey,Not working - retired,Disapprove,Somewhat concerned,Yes,By the end of summer,Did not leave home in the past week,A Democrat,"Yes, registered to vote at my current address",65+,.3166
30129,English,qualified,63,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,Male,"White, Non-Hispanic",2,A building with 2 or more apartments,"$10,000 to $12,499",Living with partner,Metro area,NorthEast,Rented for cash,Massachusetts,Not working - disabled,Approve,Very concerned,Yes,By June 1,Yes,An Independent,"Yes, registered to vote at my current address",50-64,.9487
30130,English,qualified,54,Professional or Doctorate degree,Bachelors degree or higher,Female,"White, Non-Hispanic",3,A one-family house detached from any other house,"$150,000 to $174,999",Married,Metro area,West,Owned or being bought by you or someone in your household,California,Working - as a paid employee,Disapprove,Very concerned,Yes,By the end of summer,Yes,A Democrat,"Yes, registered to vote at my current address",50-64,.5992
30131,English,qualified,53,Bachelor's degree,Bachelors degree or higher,Female,"White, Non-Hispanic",5,A one-family house attached to one or more houses,"$75,000 to $84,999",Married,Metro area,South,Rented for cash,Louisiana,Working - as a paid employee,Approve,Somewhat concerned,Yes,By June 1,Yes,A Republican,"Yes, registered to vote at my current address",50-64,.6211
30132,English,qualified,66,Bachelor's degree,Bachelors degree or higher,Female,"White, Non-Hispanic",2,A one-family house detached from any other house,"$250,000 or more",Married,Metro area,South,Owned or being bought by you or someone in your household,Texas,Not working - retired,Disapprove,Very concerned,Yes,By the end of the year,No,An Independent,"Yes, registered to vote at my current address",65+,.6263
30133,English,qualified,25,Associate degree,Some college,Male,Hispanic,3,A one-family house detached from any other house,"$150,000 to $174,999",Never married,Metro area,NorthEast,Owned or being bought by you or someone in your household,New York,Working - as a paid employee,Disapprove,Very concerned,Yes,By July 1,Yes,A Democrat,"Yes, registered to vote at my current address",18-29,1.3399
30134,English,qualified,56,Associate degree,Some college,Female,"White, Non-Hispanic",2,A mobile home,"$100,000 to $124,999",Married,Non-metro area,NorthEast,Owned or being bought by you or someone in your household,Pennsylvania,Working - as a paid employee,Disapprove,Very concerned,Yes,By the end of summer,Yes,An Independent,"Yes, registered to vote at my current address",50-64,.8006
30135,English,qualified,35,Professional or Doctorate degree,Bachelors degree or higher,Male,"White, Non-Hispanic",5,A one-family house detached from any other house,"$60,000 to $74,999",Married,Metro area,NorthEast,Owned or being bought by you or someone in your household,Connecticut,Working - as a paid employee,Disapprove,Somewhat concerned,Skipped, ,Did not leave home in the past week,An Independent,"Yes, registered to vote at my current address",30-49,.8403
30136,English,qualified,65,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,Female,"White, Non-Hispanic",3,A one-family house detached from any other house,"$100,000 to $124,999",Married,Metro area,South,Owned or being bought by you or someone in your household,North Carolina,Not working - other,Disapprove,Very concerned,Yes,By the end of the year,No,A Democrat,"Yes, registered to vote at my current address",65+,.7638
30137,English,qualified,76,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,Female,"White, Non-Hispanic",1,A building with 2 or more apartments,"$15,000 to $19,999",Divorced,Metro area,West,Rented for cash,California,Not working - retired,Disapprove,Very concerned,Yes,By June 1,Yes,A Democrat,"Yes, registered to vote at my current address",65+,.7371
30138,English,qualified,56,7th or 8th grade,Less than high school,Female,"Black, Non-Hispanic",2,A building with 2 or more apartments,"Less than $5,000",Separated,Metro area,NorthEast,Rented for cash,New York,Not working - disabled,Disapprove,Very concerned,Yes,Longer than that,Yes,A Democrat,"Yes, registered to vote at my current address",50-64,3.6783
30139,English,qualified,81,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,Male,"White, Non-Hispanic",1,A building with 2 or more apartments,"Less than $5,000",Married,Metro area,West,Rented for cash,California,Not working - retired,Approve,Not so concerned,No, ,Yes,A Republican,"Yes, registered to vote at my current address",65+,1.0471
30140,English,qualified,55,Bachelor's degree,Bachelors degree or higher,Female,"White, Non-Hispanic",2,A one-family house detached from any other house,"$250,000 or more",Married,Metro area,South,Owned or being bought by you or someone in your household,Texas,Not working - other,Approve,Not so concerned,Yes,By May 1,Yes,Something else,"Yes, registered to vote at my current address",50-64,1.3912
30141,English,qualified,28,"Some college, no degree",Some college,Male,"Other, Non-Hispanic",3,A one-family house detached from any other house,"$75,000 to $84,999",Never married,Metro area,South,Owned or being bought by you or someone in your household,West Virginia,Working - as a paid employee,Approve,Somewhat concerned,No, ,No,Something else,"No, not registered to vote at my current address",18-29,1.2958
30142,English,qualified,73,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,Female,"White, Non-Hispanic",1,A one-family house attached to one or more houses,"$25,000 to $29,999",Divorced,Non-metro area,MidWest,Rented for cash,Minnesota,Not working - retired,Disapprove,Very concerned,Yes,By the end of the year,Did not leave home in the past week,Skipped,"Yes, registered to vote at my current address",65+,1.4519
30143,English,qualified,67,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,Male,"White, Non-Hispanic",2,A one-family house detached from any other house,"$60,000 to $74,999",Married,Metro area,MidWest,Owned or being bought by you or someone in your household,Minnesota,Not working - retired,Disapprove,Somewhat concerned,Yes,By July 1,Yes,A Democrat,"Yes, registered to vote at my current address",65+,.6782
30144,English,qualified,84,"Some college, no degree",Some college,Male,"White, Non-Hispanic",4,A one-family house detached from any other house,"$175,000 to $199,999",Married,Metro area,South,Owned or being bought by you or someone in your household,Florida,Not working - retired,Approve,Very concerned,Yes,By June 1,Yes,A Republican,"Yes, registered to vote at my current address",65+,.7772
30145,English,qualified,61,"Some college, no degree",Some college,Male,"White, Non-Hispanic",3,A one-family house detached from any other house,"$150,000 to $174,999",Married,Metro area,MidWest,Owned or being bought by you or someone in your household,Illinois,Working - as a paid employee,Disapprove,Somewhat concerned,Yes,By the end of summer,Yes,An Independent,"Yes, registered to vote at my current address",50-64,.7228
30146,English,qualified,63,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,Male,"White, Non-Hispanic",2,A one-family house detached from any other house,"$100,000 to $124,999",Married,Metro area,NorthEast,Owned or being bought by you or someone in your household,Pennsylvania,Working - as a paid employee,Approve,Very concerned,Yes,By the end of summer,No,A Republican,"Yes, registered to vote at my current address",50-64,.9604
30147,English,qualified,59,Master's degree,Bachelors degree or higher,Male,"White, Non-Hispanic",1,A one-family house detached from any other house,"$40,000 to $49,999",Never married,Metro area,MidWest,Owned or being bought by you or someone in your household,Missouri,Not working - other,Approve,Somewhat concerned,Yes,Longer than that,No,A Republican,"Yes, registered to vote at my current address",50-64,.5994
30148,English,qualified,64,"Some college, no degree",Some college,Female,"White, Non-Hispanic",2,A one-family house detached from any other house,"$85,000 to $99,999",Married,Metro area,MidWest,Owned or being bought by you or someone in your household,Minnesota,Working - as a paid employee,Disapprove,Very concerned,Yes,By the end of summer,Yes,An Independent,"Yes, registered to vote at my current address",50-64,.4873
30149,English,qualified,37,Master's degree,Bachelors degree or higher,Male,"White, Non-Hispanic",4,A one-family house detached from any other house,"$125,000 to $149,999",Married,Metro area,West,Owned or being bought by you or someone in your household,Arizona,Working - as a paid employee,Disapprove,Somewhat concerned,Yes,Longer than that,No,An Independent,"Yes, registered to vote at my current address",30-49,.9419
30150,English,qualified,54,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,Female,"White, Non-Hispanic",2,A one-family house detached from any other house,"$25,000 to $29,999",Married,Non-metro area,South,Owned or being bought by you or someone in your household,Virginia,Working - as a paid employee,Approve,Not so concerned,No, ,No,A Republican,"No, not registered to vote at my current address",50-64,1.4463
30151,English,qualified,77,Master's degree,Bachelors degree or higher,Female,"White, Non-Hispanic",2,A one-family house detached from any other house,"$150,000 to $174,999",Married,Metro area,West,Owned or being bought by you or someone in your household,California,Not working - retired,Disapprove,Very concerned,Yes,By June 1,Yes,A Republican,"Yes, registered to vote at my current address",65+,.6119
30152,English,qualified,36,Professional or Doctorate degree,Bachelors degree or higher,Male,"White, Non-Hispanic",2,A building with 2 or more apartments,"$175,000 to $199,999",Married,Metro area,West,Rented for cash,Colorado,Working - as a paid employee,Disapprove,Not so concerned,Yes,By June 1,Yes,An Independent,"Yes, registered to vote at my current address",30-49,1.0684
30153,English,qualified,55,"Some college, no degree",Some college,Male,Hispanic,5,A one-family house detached from any other house,"$85,000 to $99,999",Married,Metro area,West,Owned or being bought by you or someone in your household,California,Not working - retired,Approve,Somewhat concerned,Yes,By June 1,Yes,A Republican,"Yes, registered to vote at my current address",50-64,.8833
30154,English,qualified,78,Bachelor's degree,Bachelors degree or higher,Male,"White, Non-Hispanic",2,A one-family house detached from any other house,"$125,000 to $149,999",Married,Metro area,NorthEast,Owned or being bought by you or someone in your household,Connecticut,Not working - retired,Disapprove,Somewhat concerned,Yes,By June 1,Yes,A Republican,"Yes, registered to vote at my current address",65+,.5012
30155,English,qualified,53,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,Male,"White, Non-Hispanic",3,A mobile home,"$7,500 to $9,999",Married,Non-metro area,South,Rented for cash,North Carolina,Not working - disabled,Disapprove,Very concerned,Yes,By the end of the year,Yes,A Democrat,"Yes, registered to vote at my current address",50-64,.8229
30156,English,qualified,39,"Some college, no degree",Some college,Female,"White, Non-Hispanic",2,A one-family house detached from any other house,"$50,000 to $59,999",Married,Non-metro area,MidWest,Owned or being bought by you or someone in your household,Michigan,Working - as a paid employee,Approve,Very concerned,Yes,By the end of the year,Yes,A Democrat,"Yes, registered to vote at my current address",30-49,.6591
30157,English,qualified,21,"Some college, no degree",Some college,Male,Hispanic,5,A one-family house detached from any other house,"$50,000 to $59,999",Never married,Non-metro area,West,Owned or being bought by you or someone in your household,Arizona,Working - as a paid employee,Approve,Somewhat concerned,Yes,Longer than that,Yes,An Independent,"Yes, registered to vote at my current address",18-29,1.5003
30158,English,qualified,58,Associate degree,Some college,Male,"White, Non-Hispanic",4,A one-family house detached from any other house,"$200,000 to $249,999",Married,Metro area,West,Owned or being bought by you or someone in your household,Alaska,Working - as a paid employee,Approve,Not so concerned,Yes,Longer than that,No,A Republican,"Yes, registered to vote at my current address",50-64,.8093
30159,English,qualified,32,Master's degree,Bachelors degree or higher,Male,"Other, Non-Hispanic",2,A one-family house attached to one or more houses,"$150,000 to $174,999",Married,Metro area,South,Rented for cash,Virginia,Working - as a paid employee,Disapprove,Very concerned,Yes,By the end of the year,Yes,A Democrat,"Yes, registered to vote at my current address",30-49,.8512
30160,English,qualified,50,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,Male,"White, Non-Hispanic",1,A one-family house detached from any other house,"$100,000 to $124,999",Married,Non-metro area,MidWest,Owned or being bought by you or someone in your household,Michigan,Working - as a paid employee,Approve,Not so concerned,No, ,Yes,A Republican,"Yes, registered to vote at my current address",50-64,1.1351
30161,English,qualified,21,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,Female,Hispanic,4,A one-family house attached to one or more houses,"$85,000 to $99,999",Living with partner,Metro area,West,Owned or being bought by you or someone in your household,California,Not working - other,Disapprove,Very concerned,Yes,By June 1,Yes,A Democrat,"Yes, registered to vote at my current address",18-29,2.6198
30162,English,qualified,59,Bachelor's degree,Bachelors degree or higher,Female,"White, Non-Hispanic",1,A one-family house detached from any other house,"$100,000 to $124,999",Married,Metro area,South,Owned or being bought by you or someone in your household,North Carolina,Working - as a paid employee,Disapprove,Somewhat concerned,Yes,By June 1,Yes,A Democrat,"Yes, registered to vote at my current address",50-64,.5718
30163,English,qualified,56,Master's degree,Bachelors degree or higher,Male,"White, Non-Hispanic",2,A one-family house detached from any other house,"$250,000 or more",Married,Metro area,West,Owned or being bought by you or someone in your household,California,Working - as a paid employee,Approve,Somewhat concerned,Yes,By the end of the year,Did not leave home in the past week,An Independent,"No, not registered to vote at my current address",50-64,.6324
30164,Spanish,qualified,88,Professional or Doctorate degree,Bachelors degree or higher,Female,Hispanic,2,A one-family house detached from any other house,"$30,000 to $34,999",Married,Metro area,South,Owned or being bought by you or someone in your household,Florida,Not working - retired,Approve,Very concerned,Yes,By June 1,Yes,An Independent,"Yes, registered to vote at my current address",65+,.8803
30165,English,qualified,64,7th or 8th grade,Less than high school,Male,"Black, Non-Hispanic",1,A building with 2 or more apartments,"$12,500 to $14,999",Divorced,Metro area,South,Rented for cash,Louisiana,Not working - retired,Skipped,Somewhat concerned,No, ,Yes,An Independent,"Yes, registered to vote at my current address",50-64,3.8904
30166,English,qualified,64,Master's degree,Bachelors degree or higher,Female,"White, Non-Hispanic",3,A one-family house detached from any other house,"$250,000 or more",Married,Metro area,NorthEast,Owned or being bought by you or someone in your household,Massachusetts,Working - as a paid employee,Disapprove,Not so concerned,Yes,By June 1,Yes,An Independent,"Yes, registered to vote at my current address",50-64,.5544
30167,English,qualified,78,"Some college, no degree",Some college,Male,"White, Non-Hispanic",2,A one-family house detached from any other house,"$60,000 to $74,999",Married,Metro area,West,Owned or being bought by you or someone in your household,California,Not working - retired,Approve,Not so concerned,Yes,By the end of summer,No,A Republican,"Yes, registered to vote at my current address",65+,.5893
30168,English,qualified,61,Bachelor's degree,Bachelors degree or higher,Female,"White, Non-Hispanic",2,A one-family house detached from any other house,"$175,000 to $199,999",Married,Metro area,West,Owned or being bought by you or someone in your household,Oregon,Not working - other,Approve,Very concerned,Yes,By the end of summer,No,A Republican,"Yes, registered to vote at my current address",50-64,.6119
30169,English,qualified,76,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,Female,"White, Non-Hispanic",2,A one-family house detached from any other house,"$35,000 to $39,999",Married,Metro area,MidWest,Owned or being bought by you or someone in your household,Ohio,Not working - retired,Approve,Very concerned,Yes,By June 1,No,A Republican,"Yes, registered to vote at my current address",65+,1.0509
30170,English,qualified,53,7th or 8th grade,Less than high school,Male,"White, Non-Hispanic",2,A one-family house detached from any other house,"$20,000 to $24,999",Married,Metro area,South,Owned or being bought by you or someone in your household,Georgia,Not working - disabled,Skipped,Somewhat concerned,Yes,By the end of summer,Did not leave home in the past week,Something else,"No, not registered to vote at my current address",50-64,2.6275
30171,English,qualified,21,"Some college, no degree",Some college,Male,"Black, Non-Hispanic",6 or more,A one-family house detached from any other house,"$75,000 to $84,999",Never married,Metro area,MidWest,Rented for cash,Ohio,Not working - other,Disapprove,Somewhat concerned,Yes,By the end of summer,Did not leave home in the past week,An Independent,"No, not registered to vote at my current address",18-29,2.0866
30172,English,qualified,40,Bachelor's degree,Bachelors degree or higher,Female,"White, Non-Hispanic",2,A one-family house detached from any other house,"$150,000 to $174,999",Married,Metro area,MidWest,Owned or being bought by you or someone in your household,Ohio,Working - as a paid employee,Disapprove,Very concerned,Yes,By the end of the year,Yes,An Independent,"Yes, registered to vote at my current address",30-49,.9742
30173,English,qualified,60,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,Female,"White, Non-Hispanic",3,A one-family house detached from any other house,"$50,000 to $59,999",Married,Metro area,West,Owned or being bought by you or someone in your household,Colorado,Working - as a paid employee,Disapprove,Very concerned,Yes,By June 1,Yes,An Independent,"Yes, registered to vote at my current address",50-64,.91
30174,English,qualified,74,Associate degree,Some college,Female,"2+ Races, Non-Hispanic",2,A one-family house detached from any other house,"$150,000 to $174,999",Married,Metro area,South,Owned or being bought by you or someone in your household,Georgia,Not working - retired,Disapprove,Very concerned,Yes,By the end of summer,Yes,A Democrat,"Yes, registered to vote at my current address",65+,.5578
30175,English,qualified,39,"Some college, no degree",Some college,Male,"White, Non-Hispanic",2,A one-family house detached from any other house,"$100,000 to $124,999",Never married,Metro area,West,Rented for cash,Washington,Working - as a paid employee,Disapprove,Not so concerned,Yes,By the end of summer,No,An Independent,"Yes, registered to vote at my current address",30-49,1.1397
30176,English,qualified,51,Bachelor's degree,Bachelors degree or higher,Male,"White, Non-Hispanic",3,A one-family house detached from any other house,"$200,000 to $249,999",Married,Metro area,West,Owned or being bought by you or someone in your household,Arizona,Working - as a paid employee,Approve,Somewhat concerned,Yes,By June 1,Yes,An Independent,"Yes, registered to vote at my current address",50-64,.6324
30177,English,qualified,34,Bachelor's degree,Bachelors degree or higher,Male,"White, Non-Hispanic",4,A building with 2 or more apartments,"$75,000 to $84,999",Married,Metro area,West,Rented for cash,Arizona,Working - as a paid employee,Approve,Not so concerned,No, ,No,A Republican,"Yes, registered to vote at my current address",30-49,.7386
30178,English,qualified,76,"Some college, no degree",Some college,Female,"White, Non-Hispanic",2,A one-family house detached from any other house,"$125,000 to $149,999",Married,Metro area,West,Owned or being bought by you or someone in your household,Arizona,Not working - retired,Approve,Not so concerned,No, ,No,An Independent,"Yes, registered to vote at my current address",65+,.6172
30179,Spanish,qualified,33,Bachelor's degree,Bachelors degree or higher,Male,Hispanic,3,A mobile home,"$15,000 to $19,999",Never married,Metro area,West,Rented for cash,California,Working - as a paid employee,Disapprove,Somewhat concerned,Yes,By the end of summer,Yes,A Democrat,"Yes, registered to vote at my current address",30-49,1.1861
30180,English,qualified,52,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,Male,"White, Non-Hispanic",3,A one-family house detached from any other house,"$150,000 to $174,999",Married,Metro area,MidWest,Owned or being bought by you or someone in your household,Michigan,Working - as a paid employee,Disapprove,Very concerned,Yes,Longer than that,Yes,An Independent,"Yes, registered to vote at my current address",50-64,1.2902
30181,English,qualified,33,Bachelor's degree,Bachelors degree or higher,Female,"White, Non-Hispanic",1,A building with 2 or more apartments,"$125,000 to $149,999",Never married,Metro area,West,Rented for cash,California,Working - as a paid employee,Disapprove,Somewhat concerned,Yes,By the end of summer,Yes,A Democrat,"Yes, registered to vote at my current address",30-49,.5823
30182,English,qualified,44,Master's degree,Bachelors degree or higher,Female,"White, Non-Hispanic",4,A one-family house detached from any other house,"$175,000 to $199,999",Married,Metro area,West,Owned or being bought by you or someone in your household,California,Working - as a paid employee,Disapprove,Very concerned,Yes,By the end of summer,Yes,A Democrat,"Yes, registered to vote at my current address",30-49,.6605
30183,English,qualified,74,Master's degree,Bachelors degree or higher,Male,"White, Non-Hispanic",1,A one-family house detached from any other house,"$75,000 to $84,999",Widowed,Metro area,South,Owned or being bought by you or someone in your household,Tennessee,Not working - retired,Approve,Somewhat concerned,Yes,By May 1,Yes,A Republican,"Yes, registered to vote at my current address",65+,.4198
30184,English,qualified,36,Professional or Doctorate degree,Bachelors degree or higher,Female,"Other, Non-Hispanic",1,A one-family house detached from any other house,"$175,000 to $199,999",Never married,Metro area,West,Owned or being bought by you or someone in your household,California,Working - as a paid employee,Disapprove,Very concerned,Yes,By July 1,Yes,A Democrat,"Yes, registered to vote at my current address",30-49,.6734
30185,English,qualified,34,Master's degree,Bachelors degree or higher,Male,"White, Non-Hispanic",4,A one-family house detached from any other house,"$100,000 to $124,999",Married,Metro area,MidWest,Owned or being bought by you or someone in your household,Minnesota,Working - as a paid employee,Disapprove,Somewhat concerned,Yes,By the end of summer,Yes,A Democrat,"Yes, registered to vote at my current address",30-49,.7239
30186,English,qualified,30,Bachelor's degree,Bachelors degree or higher,Female,"White, Non-Hispanic",1,A building with 2 or more apartments,"$40,000 to $49,999",Never married,Metro area,NorthEast,Rented for cash,New York,Working - as a paid employee,Disapprove,Not so concerned,Yes,By June 1,Did not leave home in the past week,A Democrat,"Yes, registered to vote at my current address",30-49,.5328
30187,English,qualified,63,"Some college, no degree",Some college,Male,"White, Non-Hispanic",2,A one-family house detached from any other house,"$150,000 to $174,999",Married,Non-metro area,South,Owned or being bought by you or someone in your household,Virginia,Working - self-employed,Disapprove,Very concerned,Yes,Longer than that,Yes,A Democrat,"Yes, registered to vote at my current address",50-64,.5006
30188,English,qualified,49,"Some college, no degree",Some college,Female,"White, Non-Hispanic",2,A one-family house detached from any other house,"$150,000 to $174,999",Married,Metro area,MidWest,Owned or being bought by you or someone in your household,Iowa,Not working - looking for work,Disapprove,Very concerned,Yes,By the end of summer,Did not leave home in the past week,A Democrat,"Yes, registered to vote at my current address",30-49,.772
30189,English,qualified,62,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,Female,"White, Non-Hispanic",1,A building with 2 or more apartments,"$30,000 to $34,999",Married,Metro area,NorthEast,Rented for cash,New York,Working - as a paid employee,Skipped,Somewhat concerned,Yes,By June 1,Yes,Skipped,Not sure,50-64,1.3847
30190,English,qualified,53,Bachelor's degree,Bachelors degree or higher,Male,"White, Non-Hispanic",5,A one-family house detached from any other house,"$60,000 to $74,999",Married,Metro area,South,Owned or being bought by you or someone in your household,Texas,Working - as a paid employee,Approve,Not so concerned,Yes,By July 1,Yes,A Republican,"Yes, registered to vote at my current address",50-64,.5942
30191,English,qualified,47,Professional or Doctorate degree,Bachelors degree or higher,Male,"Other, Non-Hispanic",5,A one-family house detached from any other house,"$250,000 or more",Married,Metro area,South,Owned or being bought by you or someone in your household,Texas,Working - as a paid employee,Disapprove,Very concerned,Yes,By the end of summer,Yes,A Democrat,"Yes, registered to vote at my current address",30-49,.5038
30192,English,qualified,72,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,Male,"White, Non-Hispanic",2,A one-family house attached to one or more houses,"$100,000 to $124,999",Married,Metro area,West,Owned or being bought by you or someone in your household,California,Not working - retired,Approve,Not concerned at all,Yes,By the end of the year,Yes,An Independent,"Yes, registered to vote at my current address",65+,.9477
30193,English,qualified,72,Professional or Doctorate degree,Bachelors degree or higher,Male,"White, Non-Hispanic",1,A one-family house detached from any other house,"$125,000 to $149,999",Never married,Non-metro area,West,Owned or being bought by you or someone in your household,Montana,Not working - retired,Approve,Not so concerned,No, ,No,An Independent,Not sure,65+,.4667
30194,English,qualified,38,Associate degree,Some college,Male,Hispanic,6 or more,A one-family house detached from any other house,"$100,000 to $124,999",Married,Metro area,NorthEast,Owned or being bought by you or someone in your household,Massachusetts,Working - as a paid employee,Approve,Not concerned at all,Yes,By July 1,Yes,Something else,"Yes, registered to vote at my current address",30-49,2.8238
30195,English,qualified,58,Professional or Doctorate degree,Bachelors degree or higher,Male,"White, Non-Hispanic",2,A one-family house detached from any other house,"$125,000 to $149,999",Married,Metro area,MidWest,Owned or being bought by you or someone in your household,Michigan,Working - as a paid employee,Approve,Not so concerned,Yes,By June 1,Yes,An Independent,"Yes, registered to vote at my current address",50-64,.5936
30196,English,qualified,68,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,Female,"White, Non-Hispanic",2,A building with 2 or more apartments,"$30,000 to $34,999",Married,Metro area,MidWest,Rented for cash,Wisconsin,Not working - retired,Approve,Somewhat concerned,Yes,By June 1,Did not leave home in the past week,Something else,"Yes, registered to vote at my current address",65+,1.5386
30197,English,qualified,64,Associate degree,Some college,Female,"White, Non-Hispanic",1,A one-family house detached from any other house,"$175,000 to $199,999",Married,Non-metro area,MidWest,Owned or being bought by you or someone in your household,Minnesota,Not working - looking for work,Approve,Not so concerned,Yes,By June 1,No,A Republican,"Yes, registered to vote at my current address",50-64,.744
30198,English,qualified,65,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,Female,"White, Non-Hispanic",3,A one-family house detached from any other house,"$30,000 to $34,999",Married,Metro area,MidWest,Owned or being bought by you or someone in your household,Indiana,Not working - retired,Disapprove,Very concerned,Yes,By the end of summer,Yes,A Democrat,"Yes, registered to vote at my current address",65+,.7173
30199,English,qualified,61,Bachelor's degree,Bachelors degree or higher,Male,"White, Non-Hispanic",3,A one-family house detached from any other house,"$175,000 to $199,999",Married,Metro area,South,Owned or being bought by you or someone in your household,Florida,Not working - retired,Disapprove,Somewhat concerned,Yes,Longer than that,No,A Democrat,"Yes, registered to vote at my current address",50-64,.4384
30200,English,qualified,59,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,Male,"White, Non-Hispanic",1,A one-family house detached from any other house,"$100,000 to $124,999",Married,Metro area,South,Rented for cash,Texas,Working - self-employed,Approve,Somewhat concerned,No, ,Yes,A Republican,"Yes, registered to vote at my current address",50-64,1.223
30201,English,qualified,68,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,Female,"White, Non-Hispanic",2,A one-family house detached from any other house,"$100,000 to $124,999",Divorced,Metro area,MidWest,Owned or being bought by you or someone in your household,Michigan,Not working - retired,Disapprove,Somewhat concerned,Yes,By July 1,Yes,A Democrat,"Yes, registered to vote at my current address",65+,.7513
30202,English,qualified,75,Bachelor's degree,Bachelors degree or higher,Female,"White, Non-Hispanic",2,A one-family house detached from any other house,"$100,000 to $124,999",Married,Metro area,MidWest,Owned or being bought by you or someone in your household,Wisconsin,Not working - retired,Disapprove,Not so concerned,No, ,Yes,A Republican,"Yes, registered to vote at my current address",65+,.5744
30203,English,qualified,51,Bachelor's degree,Bachelors degree or higher,Male,"White, Non-Hispanic",3,A one-family house detached from any other house,"$100,000 to $124,999",Married,Metro area,MidWest,Owned or being bought by you or someone in your household,Missouri,Working - as a paid employee,Disapprove,Somewhat concerned,Yes,By July 1,Did not leave home in the past week,A Democrat,"Yes, registered to vote at my current address",50-64,.4285
30204,English,qualified,37,Master's degree,Bachelors degree or higher,Female,"White, Non-Hispanic",4,A one-family house detached from any other house,"$100,000 to $124,999",Married,Non-metro area,South,Owned or being bought by you or someone in your household,North Carolina,Working - as a paid employee,Disapprove,Very concerned,Yes,By July 1,Did not leave home in the past week,A Democrat,"Yes, registered to vote at my current address",30-49,.5948
30205,English,qualified,41,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,Female,"White, Non-Hispanic",4,A one-family house detached from any other house,"$7,500 to $9,999",Married,Metro area,West,Owned or being bought by you or someone in your household,California,Working - self-employed,Disapprove,Very concerned,No, ,Yes,An Independent,"Yes, registered to vote at my current address",30-49,1.6146
