"","year","country","countryNUM","ccodeiso","incDiocese","decDiocese","sumDiocese","state3","polity2","cathpct","cathpop","propenpt","jewpct","nonCathVsChristian","gdp","gdpChange","nonCathVsCath","hogCatholic","hogrel","hogideo","cathPreferredReligion","cathCompositeScore","cathReligiousEducationCompositeScore","cathFinancialCompositeScore","cathRegulatoryBurdenCompositeScore","cathFreeExerciseCompositeScore","incDiocese_lag","decDiocese_lag","sumDiocese_lag","state3_lag","polity2_lag","cathpct_lag","cathpop_lag","propenpt_lag","jewpct_lag","nonCathVsChristian_lag","gdp_lag","gdpChange_lag","nonCathVsCath_lag","hogCatholic_lag","hogrel_lag","hogideo_lag","cathPreferredReligion_lag","cathCompositeScore_lag","cathReligiousEducationCompositeScore_lag","cathFinancialCompositeScore_lag","cathRegulatoryBurdenCompositeScore_lag","cathFreeExerciseCompositeScore_lag","anyDiocese"
"601",1956,"Brazil",6,"BRA",9,3,6,"Increase",5,91.3998,59201759,3.804334,0.1187699,0,1896.435994,-1.5218761562288,0,"Non-Christian","0","R",1,2,2,1.5,2,2,3,0,3,"Increase",5,91.472,57538655,3.706466,0.1205761,0,1925.743424,4.22953194094915,0,"Non-Christian","0","L",1,2,2,1.5,2,2,0
"602",1957,"Brazil",6,"BRA",6,0,6,"Increase",5,91.3276,60894100,3.902204,0.1169616,0,1994.121509,5.15100511217148,0,"Non-Christian","0","R",1,2,2,1.5,2,2,9,3,6,"Increase",5,91.3998,59201759,3.804334,0.1187699,0,1896.435994,-1.5218761562288,0,"Non-Christian","0","R",1,2,2,1.5,2,2,0
"603",1958,"Brazil",6,"BRA",11,0,11,"Increase",6,91.2554,62630643,4.000072,0.1151558,0,2111.213041,5.8718353656753,0,"Non-Christian","0","R",1,2,2,1.5,2,2,6,0,6,"Increase",5,91.3276,60894100,3.902204,0.1169616,0,1994.121509,5.15100511217148,0,"Non-Christian","0","R",1,2,2,1.5,2,2,0
"604",1959,"Brazil",6,"BRA",6,1,5,"Increase",6,91.1832,64429712,4.097941,0.1133476,0,2221.001315,5.20024610818042,0,"Non-Christian","0","R",1,2,2,1.5,2,2,11,0,11,"Increase",6,91.2554,62630643,4.000072,0.1151558,0,2111.213041,5.8718353656753,0,"Non-Christian","0","R",1,2,2,1.5,2,2,0
"605",1960,"Brazil",6,"BRA",13,0,13,"Increase",6,91.111,66306835,4.19581,0.1115411,0,2334.855201,5.12624126924481,0,"Non-Christian","0","R",1,2,2,1.5,2,2,6,1,5,"Increase",6,91.1832,64429712,4.097941,0.1133476,0,2221.001315,5.20024610818042,0,"Non-Christian","0","R",1,2,2,1.5,2,2,0
"606",1961,"Brazil",6,"BRA",8,0,8,"Increase",5,91.0388,68268209,4.29368,0.1097348,0,2437.273832,4.38650889169208,0,"Non-Christian","0","R",1,2,2,1.5,2,2,13,0,13,"Increase",6,91.111,66306835,4.19581,0.1115411,0,2334.855201,5.12624126924481,0,"Non-Christian","0","R",1,2,2,1.5,2,2,0
"607",1962,"Brazil",6,"BRA",14,0,14,"Increase",5,90.9666,70305019,4.391548,0.1079268,0,2510.961753,3.02337472435474,0,"Non-Christian","0","L",1,2,2,1.5,2,2,8,0,8,"Increase",5,91.0388,68268209,4.29368,0.1097348,0,2437.273832,4.38650889169208,0,"Non-Christian","0","R",1,2,2,1.5,2,2,0
"608",1963,"Brazil",6,"BRA",5,0,5,"Increase",3,90.8944,72391042,4.489417,0.106121,0,2463.232634,-1.90083018759546,0,"Non-Christian","0","L",1,2,2,1.5,2,2,14,0,14,"Increase",5,90.9666,70305019,4.391548,0.1079268,0,2510.961753,3.02337472435474,0,"Non-Christian","0","L",1,2,2,1.5,2,2,0
"609",1964,"Brazil",6,"BRA",3,0,3,"Increase",-3,90.8222,74489658,4.587287,0.1043137,0,2472.177604,0.363139472761631,0,"Non-Christian","0","R",1,2,2,1.5,2,2,5,0,5,"Increase",3,90.8944,72391042,4.489417,0.106121,0,2463.232634,-1.90083018759546,0,"Non-Christian","0","L",1,2,2,1.5,2,2,0
"610",1965,"Brazil",6,"BRA",2,0,2,"Increase",-9,90.75,76574277,4.685155,0.1025061,0,2448.391865,-0.962137144253494,0,"Non-Christian","0","R",1,2,2,1.5,2,2,3,0,3,"Increase",-3,90.8222,74489658,4.587287,0.1043137,0,2472.177604,0.363139472761631,0,"Non-Christian","0","R",1,2,2,1.5,2,2,0
"611",1966,"Brazil",6,"BRA",7,0,7,"Increase",-9,90.6778,78637488,4.783025,0.1007001,0,2526.735226,3.19978848647251,0,"Non-Christian","0","R",1,2,2,1.5,2,2,2,0,2,"Increase",-9,90.75,76574277,4.685155,0.1025061,0,2448.391865,-0.962137144253494,0,"Non-Christian","0","R",1,2,2,1.5,2,2,0
"612",1967,"Brazil",6,"BRA",1,0,1,"Increase",-9,90.6056,80686421,4.880893,0.0988924,0,2553.97447,1.07804109111669,0,"Non-Christian","0","R",1,1,2,1.5,2,2,7,0,7,"Increase",-9,90.6778,78637488,4.783025,0.1007001,0,2526.735226,3.19978848647251,0,"Non-Christian","0","R",1,2,2,1.5,2,2,0
"613",1968,"Brazil",6,"BRA",6,0,6,"Increase",-9,90.5334,82727149,4.978762,0.0970852,0,2704.245082,5.88379460190922,0,"Non-Christian","0","R",1,1,2,1.5,2,2,1,0,1,"Increase",-9,90.6056,80686421,4.880893,0.0988924,0,2553.97447,1.07804109111669,0,"Non-Christian","0","R",1,1,2,1.5,2,2,0
"614",1969,"Brazil",6,"BRA",2,1,1,"Increase",-9,90.4612,84771113,5.076632,0.0952791,0,2859.841815,5.75379554300324,0,"Non-Christian","0","R",1,1,2,1.5,2,NA,6,0,6,"Increase",-9,90.5334,82727149,4.978762,0.0970852,0,2704.245082,5.88379460190922,0,"Non-Christian","0","R",1,1,2,1.5,2,2,0
"631",1986,"Brazil",6,"BRA",3,0,3,"Increase",7,86.38182,120090935,7.825406,0.067708,0,5201.660532,5.8547048814614,0,"Non-Christian","0","R",1,2,2,1.5,2,2,1,0,1,"Increase",7,86.99018,118500673,7.61642,0.0689905,0,4913.962528,5.83076796755619,0,"Non-Christian","0","R",1,2,2,1.5,2,2,0
"632",1987,"Brazil",6,"BRA",2,0,2,"Increase",7,85.77345,121598990,8.034391,0.0664256,0,5269.529529,1.30475636736536,0,"Non-Christian","0","R",1,2,2,1.5,2,2,3,0,3,"Increase",7,86.38182,120090935,7.825406,0.067708,0,5201.660532,5.8547048814614,0,"Non-Christian","0","R",1,2,2,1.5,2,2,0
"633",1988,"Brazil",6,"BRA",1,0,1,"Increase",8,85.16509,123023207,8.243379,0.0651432,0,5154.552248,-2.1819268753926,0,"Non-Christian","0","R",1,2,3,1.5,2.5,2,2,0,2,"Increase",7,85.77345,121598990,8.034391,0.0664256,0,5269.529529,1.30475636736536,0,"Non-Christian","0","R",1,2,2,1.5,2,2,0
"634",1989,"Brazil",6,"BRA",5,0,5,"Increase",8,84.55672,124364901,8.452364,0.0638611,0,5223.679696,1.34109510727769,0,"Non-Christian","0","R",1,2,3,1.5,2.5,2,1,0,1,"Increase",8,85.16509,123023207,8.243379,0.0651432,0,5154.552248,-2.1819268753926,0,"Non-Christian","0","R",1,2,3,1.5,2.5,2,0
"635",1990,"Brazil",6,"BRA",1,0,1,"Increase",8,83.94836,125627333,8.66135,0.0625787,0,4920.05689,-5.81243153619273,0,"Non-Christian","0","R",1,2,3,1.5,2.5,2,5,0,5,"Increase",8,84.55672,124364901,8.452364,0.0638611,0,5223.679696,1.34109510727769,0,"Non-Christian","0","R",1,2,3,1.5,2.5,2,0
"636",1991,"Brazil",6,"BRA",2,0,2,"Increase",8,83.34,126804759,8.870336,0.061296,0,4891.154026,-0.587449792679118,0,"Non-Christian","0","R",1,2,3,1.5,2.5,2,1,0,1,"Increase",8,83.94836,125627333,8.66135,0.0625787,0,4920.05689,-5.81243153619273,0,"Non-Christian","0","R",1,2,3,1.5,2.5,2,0
"637",1992,"Brazil",6,"BRA",1,0,1,"Increase",8,82.28889,127216964,9.546577,0.0600137,0,4799.970519,-1.86425343620941,0,"Non-Christian","0","R",1,2,3,1.5,2.5,2,2,0,2,"Increase",8,83.34,126804759,8.870336,0.061296,0,4891.154026,-0.587449792679118,0,"Non-Christian","0","R",1,2,3,1.5,2.5,2,0
"638",1993,"Brazil",6,"BRA",0,0,0,"None",8,81.23778,127552354,10.22282,0.0587315,0,4937.493691,2.86508368031915,0,"Non-Christian","0","R",1,2,3,1.5,2.5,2,1,0,1,"Increase",8,82.28889,127216964,9.546577,0.0600137,0,4799.970519,-1.86425343620941,0,"Non-Christian","0","R",1,2,3,1.5,2.5,2,0
"639",1994,"Brazil",6,"BRA",1,0,1,"Increase",8,80.18667,127843935,10.89906,0.0574492,0,5162.038791,4.54775467175377,0,"Non-Christian","0","R",1,2,3,1.5,2.5,2,0,0,0,"None",8,81.23778,127552354,10.22282,0.0587315,0,4937.493691,2.86508368031915,0,"Non-Christian","0","R",1,2,3,1.5,2.5,2,0
"640",1995,"Brazil",6,"BRA",0,0,0,"None",8,79.13556,128113197,11.5753,0.0561669,0,5295.736927,2.59002579045129,0,"Non-Christian","0","C",1,2,3,1.5,2.5,2,1,0,1,"Increase",8,80.18667,127843935,10.89906,0.0574492,0,5162.038791,4.54775467175377,0,"Non-Christian","0","R",1,2,3,1.5,2.5,2,0
"641",1996,"Brazil",6,"BRA",2,0,2,"Increase",8,78.08444,128364910,12.25154,0.0548845,0,5365.906819,1.32502601559081,0,"Non-Christian","0","C",1,2,3,1.5,2.5,2,0,0,0,"None",8,79.13556,128113197,11.5753,0.0561669,0,5295.736927,2.59002579045129,0,"Non-Christian","0","C",1,2,3,1.5,2.5,2,0
"642",1997,"Brazil",6,"BRA",3,0,3,"Increase",8,77.03333,128588244,12.92779,0.0536018,0,5485.49268,2.22862351199544,0,"Non-Christian","0","C",1,2,3,1.5,2.5,2,2,0,2,"Increase",8,78.08444,128364910,12.25154,0.0548845,0,5365.906819,1.32502601559081,0,"Non-Christian","0","C",1,2,3,1.5,2.5,2,0
"643",1998,"Brazil",6,"BRA",3,0,3,"Increase",8,75.98222,128768855,13.60403,0.0523194,0,5414.209029,-1.29949405018622,0,"Non-Christian","0","C",1,2,3,1.5,2.5,2,3,0,3,"Increase",8,77.03333,128588244,12.92779,0.0536018,0,5485.49268,2.22862351199544,0,"Non-Christian","0","C",1,2,3,1.5,2.5,2,0
"644",1999,"Brazil",6,"BRA",2,0,2,"Increase",8,74.93111,128886278,14.28027,0.0510371,0,5377.022859,-0.686825532609114,0,"Non-Christian","0","C",1,2,3,1.5,2.5,2,3,0,3,"Increase",8,75.98222,128768855,13.60403,0.0523194,0,5414.209029,-1.29949405018622,0,"Non-Christian","0","C",1,2,3,1.5,2.5,2,0
"645",2000,"Brazil",6,"BRA",3,0,3,"Increase",8,73.88,128924219,14.95536,0.0497551,0,5532.236842,2.88661564345416,0,"Non-Christian","0","C",1,2,3,1.5,2.5,2,2,0,2,"Increase",8,74.93111,128886278,14.28027,0.0510371,0,5377.022859,-0.686825532609114,0,"Non-Christian","0","C",1,2,3,1.5,2.5,2,0
"646",2001,"Brazil",6,"BRA",1,0,1,"Increase",8,72.9616,129118834,15.61971,0.0502774,0,5524.665959,-0.136850305151859,0,"Non-Christian","0","C",1,2,3,1.5,2.5,2,3,0,3,"Increase",8,73.88,128924219,14.95536,0.0497551,0,5532.236842,2.88661564345416,0,"Non-Christian","0","C",1,2,3,1.5,2.5,2,0
"647",2002,"Brazil",6,"BRA",4,1,3,"Increase",8,72.0432,129241011,16.28406,0.0508,0,5552.343207,0.50097595411922,0,"Non-Christian","0","C",1,2,3,1.5,2.5,2,1,0,1,"Increase",8,72.9616,129118834,15.61971,0.0502774,0,5524.665959,-0.136850305151859,0,"Non-Christian","0","C",1,2,3,1.5,2.5,2,0
"648",2003,"Brazil",6,"BRA",0,1,-1,"Decrease",8,71.1248,129271423,16.94841,0.051323,0,5535.850185,-0.297046154841552,0,"Non-Christian","0","L",1,2,3,1.5,2.5,2,4,1,3,"Increase",8,72.0432,129241011,16.28406,0.0508,0,5552.343207,0.50097595411922,0,"Non-Christian","0","C",1,2,3,1.5,2.5,2,0
"649",2004,"Brazil",6,"BRA",1,0,1,"Increase",8,70.2064,129186995,17.61276,0.0518455,0,5772.045536,4.26664998341171,0,"Non-Christian","0","L",1,2,3,1.5,2.5,2,0,1,-1,"Decrease",8,71.1248,129271423,16.94841,0.051323,0,5535.850185,-0.297046154841552,0,"Non-Christian","0","L",1,2,3,1.5,2.5,2,0
"650",2005,"Brazil",6,"BRA",1,0,1,"Increase",8,69.288,128974348,18.2771,0.052368,0,5877.826163,1.83263673753526,0,"Non-Christian","0","L",1,2,3,1.5,2.5,2,1,0,1,"Increase",8,70.2064,129186995,17.61276,0.0518455,0,5772.045536,4.26664998341171,0,"Non-Christian","0","L",1,2,3,1.5,2.5,2,0
"651",2006,"Brazil",6,"BRA",1,0,1,"Increase",8,68.3696,128626679,18.94179,0.0528904,0,6033.890604,2.65513876511698,0,"Non-Christian","0","L",1,2,3,1.5,2.5,2,1,0,1,"Increase",8,69.288,128974348,18.2771,0.052368,0,5877.826163,1.83263673753526,0,"Non-Christian","0","L",1,2,3,1.5,2.5,2,0
"652",2007,"Brazil",6,"BRA",0,0,0,"None",8,67.4512,128155240,19.60648,0.053413,0,6195.958106,2.68595360168713,0,"Non-Christian","0","L",1,2,3,1.5,2.5,2,1,0,1,"Increase",8,68.3696,128626679,18.94179,0.0528904,0,6033.890604,2.65513876511698,0,"Non-Christian","0","L",1,2,3,1.5,2.5,2,0
"653",2008,"Brazil",6,"BRA",2,0,2,"Increase",8,66.5328,127587001,20.27116,0.0539356,0,6428.94832,3.76035812402249,0,"Non-Christian","0","L",1,2,3,1.5,2.5,2,0,0,0,"None",8,67.4512,128155240,19.60648,0.053413,0,6195.958106,2.68595360168713,0,"Non-Christian","0","L",1,2,3,1.5,2.5,2,0
"656",1902,"Canada",7,"CAN",0,0,0,"None",9,41.04504,2382214,44.28466,0.363135,0,3330.924602,7.56101870145347,0,"Non-Christian","0","C",1,3,3,2.5,2.3333,2,1,0,1,"Increase",9,41.15435,2317193,44.36039,0.290756,0,3096.776734,6.37215744550668,0,"Non-Christian","0","C",1,3,3,2.5,2.3333,2,0
"657",1903,"Canada",7,"CAN",1,0,1,"Increase",9,40.93574,2446819,44.21915,0.4355202,0,3333.628075,0.0811628398426301,0,"Non-Christian","0","C",1,3,3,2.5,2.3333,2,0,0,0,"None",9,41.04504,2382214,44.28466,0.363135,0,3330.924602,7.56101870145347,0,"Non-Christian","0","C",1,3,3,2.5,2.3333,2,0
"658",1904,"Canada",7,"CAN",4,0,4,"Increase",9,40.82806,2511110,44.16357,0.5078976,0,3279.564231,-1.62177191887251,0,"Non-Christian","0","C",1,3,3,2.5,2.3333,2,1,0,1,"Increase",9,40.93574,2446819,44.21915,0.4355202,0,3333.628075,0.0811628398426301,0,"Non-Christian","0","C",1,3,3,2.5,2.3333,2,0
"659",1905,"Canada",7,"CAN",1,0,1,"Increase",9,40.71931,2574925,44.11751,0.5802711,0,3561.817061,8.60641262433626,0,"Non-Christian","0","C",1,3,3,2.5,2.3333,2,4,0,4,"Increase",9,40.82806,2511110,44.16357,0.5078976,0,3279.564231,-1.62177191887251,0,"Non-Christian","0","C",1,3,3,2.5,2.3333,2,0
"660",1906,"Canada",7,"CAN",0,0,0,"None",9,40.54555,2634103,44.08094,0.6526594,0,3846.20694,7.98440442418893,0,"Non-Christian","0","C",1,3,3,2.5,2.3333,2,1,0,1,"Increase",9,40.71931,2574925,44.11751,0.5802711,0,3561.817061,8.60641262433626,0,"Non-Christian","0","C",1,3,3,2.5,2.3333,2,0
"661",1907,"Canada",7,"CAN",1,0,1,"Increase",9,40.37179,2692645,44.0489,0.7250338,0,3874.850212,0.744714791659118,0,"Non-Christian","0","C",1,3,3,2.5,2.3333,2,0,0,0,"None",9,40.54555,2634103,44.08094,0.6526594,0,3846.20694,7.98440442418893,0,"Non-Christian","0","C",1,3,3,2.5,2.3333,2,0
"662",1908,"Canada",7,"CAN",3,1,2,"Increase",9,40.19801,2750549,44.02585,0.7974132,0,3572.06106,-7.8142156582542,0,"Non-Christian","0","C",1,3,3,2.5,2.3333,2,1,0,1,"Increase",9,40.37179,2692645,44.0489,0.7250338,0,3874.850212,0.744714791659118,0,"Non-Christian","0","C",1,3,3,2.5,2.3333,2,0
"663",1909,"Canada",7,"CAN",0,0,0,"None",9,40.02424,2807818,44.01023,0.8697996,0,3849.597598,7.76964708436423,0,"Non-Christian","0","C",1,3,3,2.5,2.3333,2,3,1,2,"Increase",9,40.19801,2750549,44.02585,0.7974132,0,3572.06106,-7.8142156582542,0,"Non-Christian","0","C",1,3,3,2.5,2.3333,2,0
"664",1910,"Canada",7,"CAN",2,0,2,"Increase",9,39.85047,2864452,44.00064,0.9421814,0,4065.761269,5.61522770879495,0,"Non-Christian","0","C",1,3,3,2.5,2.3333,2,0,0,0,"None",9,40.02424,2807818,44.01023,0.8697996,0,3849.597598,7.76964708436423,0,"Non-Christian","0","C",1,3,3,2.5,2.3333,2,0
"665",1911,"Canada",7,"CAN",0,0,0,"None",9,39.6767,2915996,43.91388,1.01456,0,4212.537652,3.61005905878238,0,"Non-Christian","0","C",1,3,3,2.5,2.3333,2,2,0,2,"Increase",9,39.85047,2864452,44.00064,0.9421814,0,4065.761269,5.61522770879495,0,"Non-Christian","0","C",1,3,3,2.5,2.3333,2,0
"666",1912,"Canada",7,"CAN",3,0,3,"Increase",9,39.59859,2974129,43.62509,1.052752,0,4377.130755,3.90721974726695,0,"Non-Christian","0","R",1,3,3,2.5,2.3333,2,0,0,0,"None",9,39.6767,2915996,43.91388,1.01456,0,4212.537652,3.61005905878238,0,"Non-Christian","0","C",1,3,3,2.5,2.3333,2,0
"667",1913,"Canada",7,"CAN",1,0,1,"Increase",9,39.52048,3031976,43.33375,1.090954,0,4446.765155,1.59086862827793,0,"Non-Christian","0","R",1,3,3,2.5,2.3333,2,3,0,3,"Increase",9,39.59859,2974129,43.62509,1.052752,0,4377.130755,3.90721974726695,0,"Non-Christian","0","R",1,3,3,2.5,2.3333,2,0
"668",1914,"Canada",7,"CAN",0,0,0,"None",9,39.44235,3089535,43.04127,1.129153,0,4025.284567,-9.47836400863404,0,"Non-Christian","0","R",1,3,3,2.5,2.3333,2,1,0,1,"Increase",9,39.52048,3031976,43.33375,1.090954,0,4446.765155,1.59086862827793,0,"Non-Christian","0","R",1,3,3,2.5,2.3333,2,0
"669",1915,"Canada",7,"CAN",3,0,3,"Increase",9,39.36426,3146812,42.75146,1.167351,0,4232.888292,5.15749188770334,0,"Non-Christian","0","R",1,3,3,2.5,2.3333,2,0,0,0,"None",9,39.44235,3089535,43.04127,1.129153,0,4025.284567,-9.47836400863404,0,"Non-Christian","0","R",1,3,3,2.5,2.3333,2,0
"670",1916,"Canada",7,"CAN",1,0,1,"Increase",9,39.28615,3203801,42.46305,1.205549,0,4646.114926,9.7622853591715,0,"Non-Christian","0","R",1,3,3,2.5,2.3333,2,3,0,3,"Increase",9,39.36426,3146812,42.75146,1.167351,0,4232.888292,5.15749188770334,0,"Non-Christian","0","R",1,3,3,2.5,2.3333,2,0
"671",1917,"Canada",7,"CAN",0,0,0,"None",9,39.20803,3260505,42.17309,1.243748,0,4800.580887,3.3246263482549,0,"Non-Christian","0","R",1,3,3,2.5,2.3333,2,1,0,1,"Increase",9,39.28615,3203801,42.46305,1.205549,0,4646.114926,9.7622853591715,0,"Non-Christian","0","R",1,3,3,2.5,2.3333,2,0
"672",1918,"Canada",7,"CAN",1,0,1,"Increase",9,39.12992,3316923,41.88159,1.28195,0,4440.594698,-7.49880477953918,0,"Non-Christian","0","C",1,3,3,2.5,2.3333,2,0,0,0,"None",9,39.20803,3260505,42.17309,1.243748,0,4800.580887,3.3246263482549,0,"Non-Christian","0","R",1,3,3,2.5,2.3333,2,0
"673",1919,"Canada",7,"CAN",0,0,0,"None",9,39.10482,3377635,41.58692,1.320144,0,4019.343004,-9.48638015060748,0,"Non-Christian","0","C",1,3,3,2.5,2.3333,2,1,0,1,"Increase",9,39.12992,3316923,41.88159,1.28195,0,4440.594698,-7.49880477953918,0,"Non-Christian","0","C",1,3,3,2.5,2.3333,2,0
"674",1920,"Canada",7,"CAN",1,0,1,"Increase",9,39.0797,3438232,41.30723,1.358343,0,3861.476245,-3.92767571324202,0,"Non-Christian","0","C",1,3,3,2.5,2.3333,2,0,0,0,"None",9,39.10482,3377635,41.58692,1.320144,0,4019.343004,-9.48638015060748,0,"Non-Christian","0","C",1,3,3,2.5,2.3333,2,0
"675",1921,"Canada",7,"CAN",1,0,1,"Increase",10,39.05459,3501168,41.32851,1.396539,0,3357.010191,-13.0640724425847,0,"Non-Christian","0","R",1,3,3,2.5,2.3333,2,1,0,1,"Increase",9,39.0797,3438232,41.30723,1.358343,0,3861.476245,-3.92767571324202,0,"Non-Christian","0","C",1,3,3,2.5,2.3333,2,0
"676",1922,"Canada",7,"CAN",1,0,1,"Increase",10,39.17952,3577688,41.16145,1.403303,0,3793.14554,12.9917791184924,0,"Non-Christian","0","C",1,3,3,2.5,2.3333,2,1,0,1,"Increase",10,39.05459,3501168,41.32851,1.396539,0,3357.010191,-13.0640724425847,0,"Non-Christian","0","R",1,3,3,2.5,2.3333,2,0
"677",1923,"Canada",7,"CAN",0,0,0,"None",10,39.30446,3654591,40.98845,1.410064,0,3975.957649,4.81953848256504,0,"Non-Christian","0","C",1,3,3,2.5,2.3333,2,1,0,1,"Increase",10,39.17952,3577688,41.16145,1.403303,0,3793.14554,12.9917791184924,0,"Non-Christian","0","C",1,3,3,2.5,2.3333,2,0
"678",1924,"Canada",7,"CAN",0,0,0,"None",10,39.42941,3731877,40.80708,1.416832,0,3977.019374,0.0267036295084067,0,"Non-Christian","0","C",1,3,3,2.5,2.3333,2,0,0,0,"None",10,39.30446,3654591,40.98845,1.410064,0,3975.957649,4.81953848256504,0,"Non-Christian","0","C",1,3,3,2.5,2.3333,2,0
"679",1925,"Canada",7,"CAN",1,0,1,"Increase",10,39.55433,3809544,40.99065,1.423587,0,4340.275631,9.13388200658034,0,"Non-Christian","0","C",1,3,3,2.5,2.3333,2,0,0,0,"None",10,39.42941,3731877,40.80708,1.416832,0,3977.019374,0.0267036295084067,0,"Non-Christian","0","C",1,3,3,2.5,2.3333,2,0
"680",1926,"Canada",7,"CAN",0,0,0,"None",10,39.67928,3887594,40.85066,1.430359,0,4497.05714,3.6122477540413,0,"Non-Christian","0","C",1,3,3,2.5,2.3333,2,1,0,1,"Increase",10,39.55433,3809544,40.99065,1.423587,0,4340.275631,9.13388200658034,0,"Non-Christian","0","C",1,3,3,2.5,2.3333,2,0
"681",1927,"Canada",7,"CAN",0,0,0,"None",10,39.8042,3966024,40.65086,1.437118,0,4846.996466,7.78151833756775,0,"Non-Christian","0","C",1,3,3,2.5,2.3333,2,0,0,0,"None",10,39.67928,3887594,40.85066,1.430359,0,4497.05714,3.6122477540413,0,"Non-Christian","0","C",1,3,3,2.5,2.3333,2,0
"682",1928,"Canada",7,"CAN",0,0,0,"None",10,39.92914,4044837,40.43036,1.443884,0,5171.589196,6.69678082657799,0,"Non-Christian","0","C",1,3,3,2.5,2.3333,2,0,0,0,"None",10,39.8042,3966024,40.65086,1.437118,0,4846.996466,7.78151833756775,0,"Non-Christian","0","C",1,3,3,2.5,2.3333,2,0
"683",1929,"Canada",7,"CAN",0,0,0,"None",10,40.05408,4124031,40.2178,1.450648,0,5065.4459,-2.0524309255286,0,"Non-Christian","0","C",1,3,3,2.5,2.3333,2,0,0,0,"None",10,39.92914,4044837,40.43036,1.443884,0,5171.589196,6.69678082657799,0,"Non-Christian","0","C",1,3,3,2.5,2.3333,2,0
"684",1930,"Canada",7,"CAN",1,0,1,"Increase",10,40.17901,4203604,40.03436,1.45741,0,4810.6045,-5.03097664116794,0,"Non-Christian","0","C",1,3,3,2.5,2.3333,2,0,0,0,"None",10,40.05408,4124031,40.2178,1.450648,0,5065.4459,-2.0524309255286,0,"Non-Christian","0","C",1,3,3,2.5,2.3333,2,0
"685",1931,"Canada",7,"CAN",1,0,1,"Increase",10,40.30395,4283559,39.87672,1.46417,0,4003.692596,-16.7736072254537,0,"Non-Christian","0","R",1,3,3,2.5,2.3333,2,1,0,1,"Increase",10,40.17901,4203604,40.03436,1.45741,0,4810.6045,-5.03097664116794,0,"Non-Christian","0","C",1,3,3,2.5,2.3333,2,0
"686",1932,"Canada",7,"CAN",0,0,0,"None",10,40.44035,4365131,39.83083,1.464063,0,3671.452659,-8.29833782273728,0,"Non-Christian","0","R",1,3,3,2.5,2.3333,2,1,0,1,"Increase",10,40.30395,4283559,39.87672,1.46417,0,4003.692596,-16.7736072254537,0,"Non-Christian","0","R",1,3,3,2.5,2.3333,2,0
"687",1933,"Canada",7,"CAN",2,0,2,"Increase",10,40.57676,4446490,39.78662,1.463969,0,3370.406081,-8.19965844478563,0,"Non-Christian","0","R",1,3,3,2.5,2.3333,2,0,0,0,"None",10,40.44035,4365131,39.83083,1.464063,0,3671.452659,-8.29833782273728,0,"Non-Christian","0","R",1,3,3,2.5,2.3333,2,0
"688",1934,"Canada",7,"CAN",0,0,0,"None",10,40.71314,4528260,39.75717,1.463863,0,3691.029556,9.51290340969451,0,"Non-Christian","0","R",1,3,3,2.5,2.3333,2,2,0,2,"Increase",10,40.57676,4446490,39.78662,1.463969,0,3370.406081,-8.19965844478563,0,"Non-Christian","0","R",1,3,3,2.5,2.3333,2,0
"689",1935,"Canada",7,"CAN",0,0,0,"None",10,40.84953,4610443,39.72191,1.463761,0,3950.625,7.03314454846375,0,"Non-Christian","0","R",1,3,3,2.5,2.3333,2,0,0,0,"None",10,40.71314,4528260,39.75717,1.463863,0,3691.029556,9.51290340969451,0,"Non-Christian","0","R",1,3,3,2.5,2.3333,2,0
"690",1936,"Canada",7,"CAN",2,0,2,"Increase",10,40.98594,4693040,39.67213,1.463656,0,4124.205995,4.39376035437431,0,"Non-Christian","0","C",1,3,3,2.5,2.3333,2,0,0,0,"None",10,40.84953,4610443,39.72191,1.463761,0,3950.625,7.03314454846375,0,"Non-Christian","0","R",1,3,3,2.5,2.3333,2,0
"691",1937,"Canada",7,"CAN",0,0,0,"None",10,41.12233,4776049,39.62793,1.463556,0,4473.410458,8.46719255593342,0,"Non-Christian","0","C",1,3,3,2.5,2.3333,2,2,0,2,"Increase",10,40.98594,4693040,39.67213,1.463656,0,4124.205995,4.39376035437431,0,"Non-Christian","0","C",1,3,3,2.5,2.3333,2,0
"692",1938,"Canada",7,"CAN",3,0,3,"Increase",10,41.25872,4859470,39.55069,1.463452,0,4545.909535,1.62066677495123,0,"Non-Christian","0","C",1,3,3,2.5,2.3333,2,0,0,0,"None",10,41.12233,4776049,39.62793,1.463556,0,4473.410458,8.46719255593342,0,"Non-Christian","0","C",1,3,3,2.5,2.3333,2,0
"693",1939,"Canada",7,"CAN",0,0,0,"None",10,41.39512,4943302,39.44861,1.463353,0,4768.131374,4.88839114129005,0,"Non-Christian","0","C",1,3,3,2.5,2.3333,2,3,0,3,"Increase",10,41.25872,4859470,39.55069,1.463452,0,4545.909535,1.62066677495123,0,"Non-Christian","0","C",1,3,3,2.5,2.3333,2,0
"694",1940,"Canada",7,"CAN",0,0,0,"None",10,41.53152,5027547,39.33631,1.463251,0,5368.24538,12.5859368991455,0,"Non-Christian","0","C",1,3,3,2.5,2.3333,2,0,0,0,"None",10,41.39512,4943302,39.44861,1.463353,0,4768.131374,4.88839114129005,0,"Non-Christian","0","C",1,3,3,2.5,2.3333,2,0
